<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140312,230200,1.3885,1.3885,1.3885,1.3885,4
EURUSD,20140312,230300,1.3886,1.3887,1.3886,1.3887,4
EURUSD,20140312,230400,1.3888,1.3889,1.3887,1.3887,4
EURUSD,20140312,230500,1.3887,1.3888,1.3887,1.3888,4
EURUSD,20140312,230600,1.3887,1.3888,1.3887,1.3888,4
EURUSD,20140312,230700,1.3888,1.3888,1.3888,1.3888,4
EURUSD,20140312,230800,1.3889,1.3889,1.3888,1.3888,4
EURUSD,20140312,230900,1.3889,1.3889,1.3888,1.3889,4
EURUSD,20140312,231000,1.3889,1.3890,1.3888,1.3890,4
EURUSD,20140312,231100,1.3889,1.3890,1.3889,1.3889,4
EURUSD,20140312,231200,1.3889,1.3889,1.3888,1.3888,4
EURUSD,20140312,231300,1.3889,1.3889,1.3889,1.3889,4
EURUSD,20140312,231400,1.3890,1.3890,1.3889,1.3890,4
EURUSD,20140312,231500,1.3889,1.3889,1.3888,1.3888,4
EURUSD,20140312,231600,1.3888,1.3888,1.3887,1.3887,4
EURUSD,20140312,231700,1.3888,1.3890,1.3888,1.3890,4
EURUSD,20140312,231800,1.3890,1.3890,1.3890,1.3890,4
EURUSD,20140312,231900,1.3889,1.3890,1.3889,1.3889,4
EURUSD,20140312,232000,1.3888,1.3890,1.3887,1.3889,4
EURUSD,20140312,232100,1.3890,1.3895,1.3890,1.3893,4
EURUSD,20140312,232200,1.3894,1.3895,1.3893,1.3894,4
EURUSD,20140312,232300,1.3895,1.3899,1.3895,1.3898,4
EURUSD,20140312,232400,1.3897,1.3897,1.3894,1.3896,4
EURUSD,20140312,232500,1.3897,1.3899,1.3895,1.3897,4
EURUSD,20140312,232600,1.3898,1.3898,1.3895,1.3895,4
EURUSD,20140312,232700,1.3895,1.3895,1.3894,1.3894,4
EURUSD,20140312,232800,1.3894,1.3894,1.3894,1.3894,4
EURUSD,20140312,232900,1.3894,1.3894,1.3893,1.3893,4
EURUSD,20140312,233000,1.3894,1.3894,1.3893,1.3894,4
EURUSD,20140312,233100,1.3894,1.3894,1.3893,1.3894,4
EURUSD,20140312,233200,1.3895,1.3896,1.3895,1.3895,4
EURUSD,20140312,233300,1.3895,1.3895,1.3894,1.3894,4
EURUSD,20140312,233400,1.3894,1.3894,1.3893,1.3893,4
EURUSD,20140312,233500,1.3893,1.3893,1.3893,1.3893,4
EURUSD,20140312,233600,1.3892,1.3893,1.3891,1.3891,4
EURUSD,20140312,233700,1.3891,1.3893,1.3891,1.3893,4
EURUSD,20140312,233800,1.3892,1.3894,1.3892,1.3894,4
EURUSD,20140312,233900,1.3895,1.3895,1.3895,1.3895,4
EURUSD,20140312,234000,1.3894,1.3894,1.3893,1.3893,4
EURUSD,20140312,234100,1.3894,1.3894,1.3894,1.3894,4
EURUSD,20140312,234200,1.3895,1.3895,1.3894,1.3894,4
EURUSD,20140312,234300,1.3894,1.3895,1.3893,1.3895,4
EURUSD,20140312,234400,1.3895,1.3895,1.3894,1.3895,4
EURUSD,20140312,234500,1.3895,1.3895,1.3895,1.3895,4
EURUSD,20140312,234600,1.3895,1.3896,1.3895,1.3895,4
EURUSD,20140312,234700,1.3895,1.3896,1.3895,1.3896,4
EURUSD,20140312,234800,1.3896,1.3896,1.3896,1.3896,4
EURUSD,20140312,234900,1.3896,1.3897,1.3895,1.3897,4
EURUSD,20140312,235000,1.3897,1.3897,1.3896,1.3896,4
EURUSD,20140312,235100,1.3897,1.3899,1.3897,1.3898,4
EURUSD,20140312,235200,1.3899,1.3901,1.3899,1.3900,4
